PropertyID,Category,Price,area,Rate/sqft,Posted Date
216889,Apartment,11500000,1945.0 sq.ft. | 1458.0 sq.ft.,5912,2024-11-17
220732,Apartment,10500000,1530.0 sq.ft.,6862,2024-10-15
220362,Other,15000000,1945.0 sq.ft.,6940,2024-08-04
100915,Other,8000000,1295.0 sq.ft.,6178,2025-02-12
188571,Apartment,25900000,2000.0 sq.ft. | 1920.0 sq.ft.,12950,2024-09-23
186749,Apartment,7900000,1295.0 sq.ft. | 1250.0 sq.ft.,6061,2025-04-22
163048,Apartment,16000000,1945.0 sq.ft. | 1650.0 sq.ft. | 1500.0 sq.ft.,8226,2025-01-11
206870,Apartment,26500000,2300.0 sq.ft. | 2100.0 sq.ft. | 1900.0 sq.ft.,11521,2024-11-14
205354,Other,28500000,2250.0 sq.ft. | 1773.0 sq.ft.,16074,2024-10-17
56366,Apartment,20000000,1850.0 sq.ft.,10810,2025-03-09
190406,Apartment,39500000,2282.0 sq.ft.,17309,2024-10-04
138576,Penthouse,152500000,5472.0 sq.ft. | 4380.0 sq.ft. | 3830.0 sq.ft.,27869,2025-01-13
152242,Apartment,33325600,2164.0 sq.ft.,15400,2025-01-19
33807,Apartment,78500000,3883.0 sq.ft. | 2156.5 sq.ft.,20216,2025-04-04
48841,Apartment,55731000,2858.0 sq.ft.,19500,2025-04-26
204167,Apartment,65000000,2950.0 sq.ft.,22033,2025-04-25
204310,Apartment,78000000,3883.0 sq.ft.,20087,2025-04-25
34203,Apartment,80000000,3883.0 sq.ft.,20602,2025-03-15
